acknowledgement,acknowledgment
analog,analogue
analyze,analyse
artifact,artefact
authorization,authorisation
authorized,authorised
caliber,calibre
canceled,cancelled
capitalizations,capitalisations
catalog,catalogue
categorize,categorise
center,centre
emphasized,emphasised
favor,favour
favorite,favourite
fulfill,fulfil
fulfillment,fulfilment
initialize,initialise
judgement,judgment
labeling,labelling
labor,labour
license,licence
maximize,maximise
modeled,modelled
modeling,modelling
offense,offence
optimize,optimise
organization,organisation
organize,organise
practice,practise
program,programme
realize,realise
recognize,recognise
signaling,signalling
sublicense,sub-license
sub-license,sub license
utilization,utilisation
while,whilst
wilfull,wilful
noncommercial,non-commercial
percent,per cent
copyright holder,copyright owner
